date,pool,code,name,latest,change_rate,turnover_rate,currency_value_yi,reason_type,limit_up_type,high_days,open_num,first_limit_up_time,last_limit_up_time,first_limit_down_time,last_limit_down_time,turnover_yi,rise_rate
20260612,涨停,603180,金牌家居,17.48,10.0063,3.0112,26.96,分红+飞流AI+家装设计+北美布局,换手板,首板,7,10:03:11,15:00:00,,,,
20260612,涨停,000032,深桑达A,18.92,10.0,9.2759,215.3,半导体洁净室+中国电子云增资+AI算力,换手板,2天2板,74,13:17:57,15:00:00,,,,
20260612,涨停,688163,赛伦生物,45.04,20.0107,5.1089,48.74,抗蛇毒血清+独家品种,换手板,首板,1,14:32:49,14:55:43,,,,
20260612,涨停,603519,立霸股份,13.64,10.0,7.5038,36.33,股权转让+第三代半导体+家电复合材料+高股息,换手板,首板,31,09:41:19,14:55:13,,,,
20260612,涨停,600857,宁波中百,15.58,10.0282,8.0016,34.95,零售+黄金+杭州金帝入主,换手板,首板,5,13:38:58,14:52:49,,,,
20260612,涨停,002971,和远气体,58.03,10.0095,36.9364,90.76,六氟化钨+电子特气+硅基功能性新材料,换手板,7天5板,84,09:31:09,14:51:33,,,,
20260612,涨停,301176,逸豪新材,56.6,19.9915,9.3747,92.85,PCB铜箔+AI算力+产能扩张,换手板,首板,10,10:23:42,14:50:18,,,,
20260612,涨停,001359,平安电工,107.14,10.0,12.3815,49.69,电子布+云母绝缘+固态电池,换手板,首板,21,09:47:39,14:49:54,,,,
20260612,涨停,301323,新莱福,103.78,20.0046,10.5831,70.12,重组并购+钐铁氮+芯片电感,换手板,首板,2,10:43:09,14:49:24,,,,
20260612,涨停,600567,山鹰国际,1.44,9.9237,6.6037,90.83,回购注销+瓦楞纸涨价+京东合作,换手板,首板,11,10:42:11,14:46:38,,,,
20260612,涨停,600906,财达证券,6.99,10.0787,7.6999,148.48,券商+河北国资+一季报增长,换手板,首板,46,13:00:47,14:45:05,,,,
20260612,涨停,600576,祥源文旅,6.18,9.9644,6.5853,40.81,旅游主业+低空文旅,换手板,首板,29,09:52:38,14:40:08,,,,
20260612,涨停,300377,赢时胜,14.88,20.0,12.4255,102.81,金融科技+AI应用+信创+资产托管,换手板,首板,2,10:52:12,14:36:54,,,,
20260612,涨停,000510,新金路,19.37,9.9943,11.988,117.5,石英砂+锡钨钽+氯碱化工+减持终止,换手板,2天2板,1,10:32:15,14:27:33,,,,
20260612,涨停,002597,金禾实业,22.24,9.9901,3.6114,126.16,甜味剂+双氯磺酰亚胺酸+固态电池+增持完成,换手板,首板,45,10:12:15,14:24:12,,,,
20260612,涨停,603120,肯特催化,57.84,10.0038,26.5921,21.92,半导体清洗+催化新材料+专精特新,换手板,首板,39,10:06:07,14:21:04,,,,
20260612,涨停,001233,海安集团,51.37,10.0,9.0439,19.37,全钢巨胎+国产替代+俄罗斯建厂+订单增长,换手板,首板,2,14:15:03,14:20:03,,,,
20260612,涨停,688010,福光股份,47.84,19.99,14.7877,76.81,商业航天+特种光学镜头+增持,换手板,首板,36,10:34:39,14:09:00,,,,
20260612,涨停,600601,方正科技,12.89,9.9829,8.876,537.55,AI算力PCB+光模块+珠海国资,换手板,首板,16,13:16:52,14:05:55,,,,
20260612,涨停,601609,金田股份,12.55,9.9912,6.8369,216.94,铜加工龙头+算力散热+稀土永磁,换手板,首板,4,10:13:15,14:00:45,,,,
20260612,涨停,603020,爱普股份,13.04,10.0422,6.3484,48.98,香精香料+鱼油+收购进展+一季报增长,换手板,6天3板,5,11:24:31,13:57:07,,,,
20260612,涨停,000737,北方铜业,14.08,10.0,5.6453,268.16,铜+PCB概念+山西国资+一季报增长,换手板,首板,1,10:47:51,13:38:57,,,,
20260612,涨停,603993,洛阳钼业,19.11,10.0173,2.6077,3336.77,钼代钨+钼钨金属+一季报增长,换手板,首板,3,10:41:07,13:36:52,,,,
20260612,涨停,600292,电投水电,14.51,10.0076,7.3212,63.74,水电+资产注入+央企国资,换手板,首板,1,13:00:46,13:33:28,,,,
20260612,涨停,603815,交建股份,6.07,9.9638,3.2681,37.57,基建+QC成果获奖+一带一路,换手板,首板,11,13:01:15,13:30:18,,,,
20260612,涨停,603036,如通股份,14.56,9.9698,7.1975,29.99,油气钻采+天然气,换手板,首板,,13:30:13,13:30:13,,,,
20260612,涨停,002812,恩捷股份,67.54,10.0,5.7738,555.62,隔膜龙头+固态电池+业绩增长,换手板,首板,14,13:12:15,13:26:18,,,,
