pool,code,name,change_rate,high_days,reason_type,open_num
涨停,002364,中恒电气,9.9978,首板,HVDC龙头+宁德时代拟入股+一季报增长,6
涨停,601022,宁波远洋,9.9741,首板,航运+定增引入战投+浙江国资,4
涨停,002335,科华数据,10.0112,首板,液冷智算+GPU芯片合作+算力租赁,7
涨停,603950,长源东谷,9.9933,首板,重大资产重组+柴油动力单元+发动机零部件,
涨停,603979,金诚信,10.0057,首板,铜矿开发+矿山服务+业绩增长,31
涨停,002730,电光科技,10.0107,首板,定增加码算力+矿用防爆电器,3
涨停,301362,民爆光电,19.9979,首板,PCB钻针+AI服务器钻针+厦芝精密并购,3
涨停,603083,剑桥科技,10.0005,首板,高速光模块+CPO+股权激励,
涨停,601636,旗滨集团,9.9846,首板,玻璃基板+光伏玻璃+浮法玻璃,38
涨停,605289,罗曼股份,10.0019,首板,AI算力+定增算力+液冷,7
涨停,600578,京能电力,10.0134,首板,风光火储一体化+火电+北京国资,1
涨停,301373,凌玮科技,20.003,,球形硅微粉+纳米二氧化硅+一季报增长,11
涨停,000593,德龙汇能,9.9951,首板,天然气+氢能+实控人变更,20
涨停,300489,光智科技,19.9988,首板,红外材料+卫星太阳能电池+先进封装,37
涨停,000811,冰轮环境,10.0097,首板,液冷数据中心+拟收购整合+业绩增长+烟台国资,27
涨停,605111,新洁能,10.005,首板,功率半导体+人形机器人+MOSFET+先进封装,34
涨停,002745,木林森,9.9785,首板,PCB涨价+Mini/MicroLED+一季报增长,17
涨停,002440,闰土股份,10.0331,首板,染料+氟化工+化工新材料+一季报增长,2
涨停,603629,利通电子,10.0033,首板,算力租赁+精密金属结构件,3
涨停,603738,泰晶科技,9.9923,2天2板,光模块晶振+石英晶振+机器人应用,53
涨停,603407,长裕集团,10.0096,首板,氧氯化锆+半导体材料+机器人上游+次新股,14
涨停,002849,威星智能,9.9877,首板,智慧终端基地+智能燃气表+锂电池,23
涨停,603256,宏和科技,10.0005,首板,电子布涨价+80亿产业园+PCB概念,71
涨停,000657,中钨高新,10.0,首板,钨+AI PCB钻针+一季报增长+央企,17
涨停,603499,翔港科技,10.0277,首板,智能包装+出售存储公司股权+可转债扩产烟包,
涨停,001359,平安电工,9.9963,2天2板,电子布+云母绝缘+固态电池,5
涨停,002992,宝明科技,9.9953,首板,复合铜箔+固态电池+LED背光源,4
涨停,688813,泰金新能,20.0014,首板,HVLP铜箔+PCB+次新股+陕西国资,
涨停,600362,江西铜业,10.0116,首板,阴极铜龙头+新材料+中期票据,
涨停,688090,瑞松科技,19.9981,首板,机器人+光通信+定增,27
涨停,002897,意华股份,10.0025,首板,高速连接器+华为链+液冷散热+CPO,26
涨停,002903,宇环数控,10.0088,首板,机器人+半导体+碳化硅+数控机床,9
涨停,688603,天承科技,20.0013,首板,PCB化学品+电镀添加剂+先进封装+一季报增长,39
涨停,000960,锡业股份,10.0133,首板,算力金属+铟龙头+锡龙头+产业整合,4
涨停,002384,东山精密,10.0023,首板,光模块+AI PCB+业绩高增,20
涨停,002080,中材科技,9.9968,首板,AI特种纤维布+风电叶片龙头+央企,54
涨停,301217,铜冠铜箔,20.0,首板,纳入深证成指+PCB铜箔+一季报增长,
涨停,603618,杭电股份,10.0103,首板,光纤涨价+特高压+PET铜箔,18
涨停,600549,厦门钨业,10.0,首板,钨全产业链+一季报高增+福建国资,1
涨停,002426,胜利精密,9.9715,首板,复合铜箔+AI PC+精密结构件,18
涨停,603806,福斯特,9.9865,首板,PCB感光干膜+光伏胶膜龙头+太空光伏,1
涨停,603458,勘设股份,10.0231,首板,工程咨询+数据中心+北斗技术+无人驾驶,5
涨停,000032,深桑达A,9.9894,3天3板,半导体洁净室+中国电子云增资+AI算力,16
涨停,000070,特发信息,10.0,首板,MPO光连接器+CPO+光纤光缆+深圳国资,11
涨停,002975,博杰股份,10.0025,首板,AI服务器测试+MLCC设备+PCB+定增,2
涨停,002428,云南锗业,10.0043,3天2板,磷化铟+AI光通信+锗业龙头,1
涨停,301387,光大同创,19.9979,首板,光通信+碳纤维+一季报营收增长,15
涨停,601958,金钼股份,9.9922,3天3板,钼价上涨+钼基新材料+陕西国资,22
涨停,600520,三佳科技,10.0037,首板,定增+先进封装+合肥国资,
涨停,603052,可川科技,9.9964,首板,硅光芯片+CPO+功能性器件,
涨停,601696,中银证券,9.9653,2天2板,证券+中国银行背景+期货+业绩增长,1
涨停,000777,中核科技,9.9878,首板,中核集团旗下+核电阀门+控股股东增持,
涨停,603681,永冠新材,10.0,首板,电子布+定增转型+固态电池+车规胶膜,4
涨停,301196,唯科科技,19.9975,首板,MPO+光纤连接头+机器人+模塑一体化,
涨停,300548,长芯博创,20.0018,首板,光通信+CPO+高速铜缆,1
涨停,600563,法拉电子,10.0,首板,薄膜电容器+AI数据中心电源+固态变压器,58
涨停,002281,光迅科技,10.0015,首板,3.2T硅光NPO+CPO+定增上市+央企,
涨停,002301,齐心集团,10.0543,首板,AI应用+B2B集采+控股股东增持,4
涨停,688167,炬光科技,20.0012,3天2板,CPO技术许可+实控人终止减持+光通信元器件,24
涨停,603011,合锻智能,9.9968,4天2板,CCL/PCB层压设备+光模块结构件+高端成形机床,
涨停,002635,安洁科技,10.0252,首板,折叠屏+苹果产业链+人形机器人,12
涨停,605376,博迁新材,9.9994,首板,MLCC镍粉+AI算力+扩产,20
涨停,001256,炜冈科技,9.983,首板,包装印刷+新品发布+一季报增长,
涨停,600703,三安光电,9.9856,首板,董事长增持+光芯片+碳化硅+AI算力,51
涨停,002106,莱宝高科,10.0329,首板,玻璃基板+AI PC+MED,
涨停,603800,洪田股份,9.9956,首板,PCB并购完成+电解铜箔设备+先进封装,
涨停,688757,胜科纳米,20.0,首板,半导体检测+CPO+先进封装,1
涨停,000823,超声电子,10.0219,首板,转债完成赎回+PCB+覆铜板+汕头国资,
涨停,603726,朗迪集团,10.0,首板,间接投资长鑫科技、甬矽电子+机器人关节+空调风叶,4
涨停,002859,洁美科技,10.0027,首板,可转债强赎+MLCC离型膜+HVLP铜箔+复合集流体,25
涨停,603085,天成自控,9.9659,首板,低空经济+航空座椅+季报增长,
涨停,600176,中国巨石,9.9976,首板,电子布涨价+PCB+央企,2
涨停,605058,澳弘电子,9.9946,首板,PCB+AI服务器电源,
涨停,002990,盛视科技,10.0089,首板,算力产业合作协议+人形机器人+智慧口岸,
涨停,000636,风华高科,9.9966,首板,MLCC+元件+AI算力+广东国资,6
涨停,600226,亨通股份,10.0,首板,PCB铜箔+锂电铜箔+股东协议转让,2
涨停,002515,金字火腿,9.9602,首板,光通信芯片+火腿龙头+休闲食品+分红实施,36
涨停,002913,奥士康,10.0036,3天2板,PCB+AI服务器+AIPC+分红实施,
涨停,601133,柏诚股份,10.017,首板,长鑫产业链+存储芯片+洁净室,20
涨停,002664,信质集团,10.0282,首板,人形机器人+低空经济+新能源汽车驱动电机,
涨停,603327,福蓉科技,9.9897,首板,折叠屏手机+苹果概念+一季报增长,
涨停,003036,泰坦股份,10.0049,首板,电子布织机+固态电池+高端纺机,6
涨停,301566,达利凯普,20.0131,首板,射频微波MLCC+新材料+航空航天,13
涨停,600460,士兰微,10.0156,首板,SiC功率器件芯片+半导体IDM+人形机器人,11
涨停,300570,太辰光,20.0022,首板,MPO连接器龙头+光纤概念+CPO,
涨停,002136,安纳达,10.0159,首板,钛白粉+磷酸铁锂+国企改革,
涨停,002972,科安达,9.9849,首板,低空经济+轨交设备+一季报增长+传感器,
涨停,603115,海星股份,9.9978,首板,AI服务器电极箔+全球市占率第一+业绩高增,1
涨停,605198,安德利,10.0,2天2板,浓缩果汁龙头+H股回购+产能并购整合,12
涨停,605589,圣泉集团,9.9966,5天3板,PPO树脂+先进封装+可转债获批,6
涨停,002174,游族网络,10.0198,首板,AI游戏+小游戏+业绩增长,
涨停,001257,盛龙股份,9.9856,3天3板,钼替代钨+钼业龙头+洛阳国资,9
涨停,600183,生益科技,10.0013,首板,覆铜板龙头+AI PCB+上证50调入,
涨停,603267,鸿远电子,10.0,首板,MLCC+光通信+商业航天,9
涨停,000506,招金黄金,9.9782,2天2板,黄金+一季报扭亏+国企,1
涨停,603373,安邦护卫,9.9909,首板,低空安防+AI赋能+高送转+浙江国资,
涨停,600293,三峡新材,9.9707,首板,电子玻璃+高端玻璃转型+硅材料基地+宜昌国资,1
涨停,601179,中国西电,10.0223,首板,特高压中标+输配电设备+央企,1
涨停,002961,瑞达期货,9.9949,首板,拟赴港上市+期货+CTA资管+一季报倍增,
涨停,000700,模塑科技,10.0,首板,人形机器人+保险杠龙头+金融资产出售,
涨停,603002,宏昌电子,9.9828,5天3板,高速覆铜板+环氧树脂+先进封装,2
涨停,300726,宏达电子,20.0033,首板,光通信+钽电容+商业航天+一季报增长,3
涨停,600545,卓郎智能,9.9265,首板,玻纤设备+华为合作+纺织机械,1
涨停,002824,和胜股份,10.0173,3天2板,折叠屏+电池结构件+一季报增长,
