pool,code,name,change_rate,high_days,reason_type,open_num
涨停,603191,望变电气,10.0302,首板,AI数据中心+变压器+取向硅钢+华为超充,2
涨停,002217,合力泰,10.1266,首板,电子纸+算力租赁+PCB概念+福建国资,
涨停,605166,聚合顺,10.0204,首板,尼龙+专精特新+出海,
涨停,002824,和胜股份,9.9874,4天3板,电池结构件+折叠屏+一季报增长,4
涨停,002194,武汉凡谷,10.0346,首板,6G预研+滤波器+商业航天,1
涨停,600545,卓郎智能,10.0334,2天2板,玻纤设备+华为合作+纺织机械,3
涨停,605006,山东玻纤,10.0,首板,电子布涨价+风电纱+山东国资,1
涨停,603516,淳中科技,10.0,2天2板,自研ASIC芯片+液冷服务器+参投沐曦+一季报扭亏,3
涨停,002700,万憬能源,10.0621,首板,天然气+燃气特许经营+国产气源,
涨停,002645,华宏科技,10.0098,首板,稀土永磁+机器人概念+一季报增长,1
涨停,301099,雅创电子,19.9973,首板,MLCC分销+存储芯片+人形机器人,1
涨停,002782,可立克,10.0171,首板,AI算力电源+数据中心+机器人,
涨停,600206,有研新材,10.0141,首板,半导体靶材+存储芯片+央企,2
涨停,002885,京泉华,10.0127,首板,电源类产品+磁性元器件+数据中心+储能,
涨停,002990,盛视科技,10.0081,2天2板,算力产业合作协议+人形机器人+智慧口岸,
涨停,600549,厦门钨业,10.0028,2天2板,钨全产业链+一季报高增+福建国资,1
涨停,002446,盛路通信,10.0,首板,商业航天+6G+回购,
涨停,603115,海星股份,9.997,2天2板,AI服务器电极箔+市占率第一+业绩增长,
涨停,601179,中国西电,9.9865,2天2板,特高压中标+输配电设备+央企,
涨停,601636,旗滨集团,10.0559,2天2板,玻璃基板+光伏玻璃+浮法玻璃,
涨停,000541,佛山照明,9.9379,首板,LED+智能照明+国企改革,1
涨停,600192,长城电工,10.0,首板,输变电设备+核电+一带一路+国企改革,
涨停,603186,华正新材,9.9984,2天2板,覆铜板+AI算力+定增扩产,2
涨停,603618,杭电股份,10.0117,2天2板,光纤涨价+PET铜箔+特高压,
涨停,300780,德恩精工,20.0149,首板,商业航天+工业机器人+通用设备,
涨停,000012,南玻A,9.9757,首板,电子玻璃+光伏玻璃+节能玻璃,
涨停,000736,中交发展,10.0,首板,更名+轻资产运营+物业服务+数据中心,
涨停,002515,金字火腿,10.0242,2天2板,光通信芯片+火腿龙头+休闲食品+分红实施,3
涨停,000791,甘肃能源,9.9526,首板,拟129亿投建新能源+东数西算绿电+综合能源,
涨停,002552,宝鼎科技,10.0031,2天2板,覆铜板+电子铜箔+黄金采选+Q1业绩大增,
涨停,603169,兰石重装,10.0271,首板,能源装备交付+可控核聚变+锂电池,
涨停,001257,盛龙股份,9.9967,4天4板,以钼代钨+钼业龙头+洛阳国资,
涨停,002585,双星新材,9.9686,9天5板,MLCC离型膜+复合铜箔+扭亏为盈,3
涨停,002047,宝鹰股份,10.0962,首板,股权转让获批+光耦合器+摘帽,
涨停,600500,中化国际,9.9515,6天4板,收购南通星辰+PPE树脂+覆铜板上游+央企,
涨停,002735,王子新材,10.0051,首板,薄膜电容+可控核聚变+无线充电,
涨停,600110,诺德股份,9.9789,2天2板,铜箔+HVLP+固态电池+满产满销,
涨停,600353,旭光电子,10.0127,4天3板,氮化铝+韩国客户+真空灭弧室+可控核聚变,
涨停,002741,光华科技,10.0031,2天2板,PCB化学品+AI算力+股权激励,
涨停,002449,国星光电,9.9469,首板,光耦器件+LED封装+华为合作+广东国资,
涨停,002160,常铝股份,10.0719,首板,复牌+济南起步区管委会入主+锂电池+空调箔,
涨停,000777,中核科技,10.0221,2天2板,中核集团旗下+核电阀门+控股股东增持,
炸板,301310,鑫宏业,19.0737,,,2
炸板,300506,名家汇,18.3295,,,2
炸板,688337,普源精电,17.5595,,,2
炸板,688662,富信科技,15.3076,,,48
炸板,688143,长盈通,15.222,,,2
炸板,300066,三川智慧,13.7584,,,2
炸板,688590,新致软件,10.0072,,,4
炸板,600703,三安光电,9.9935,,,131
炸板,600707,彩虹股份,9.9331,,,41
炸板,002051,中工国际,9.8967,,,46
炸板,000608,阳光股份,9.816,,,2
炸板,605376,博迁新材,9.3935,,,9
炸板,000922,佳电股份,9.0226,,,13
炸板,000733,振华科技,8.5968,,,98
炸板,000636,风华高科,8.5807,,,68
炸板,002980,华盛昌,8.5148,,,1
炸板,600366,宁波韵升,8.2769,,,1
炸板,600460,士兰微,8.2273,,,96
炸板,002491,通鼎互联,8.1641,,,1
炸板,603065,宿迁联盛,7.8358,,,10
炸板,002443,金洲管道,7.8341,,,2
炸板,600416,湘电股份,7.8078,,,3
炸板,600183,生益科技,7.806,,,3
炸板,000697,炼石航空,7.6712,,,1
炸板,600203,福日电子,7.646,,,4
炸板,002859,洁美科技,7.4749,,,19
炸板,603657,春光科技,7.1086,,,1
炸板,605168,三人行,7.0054,,,1
炸板,001393,维通利,6.8182,,,1
炸板,000712,锦龙股份,6.5848,,,1
炸板,000929,兰州黄河,5.9072,,,1
炸板,002795,永和智控,5.5866,,,1
炸板,002992,宝明科技,5.1155,,,4
炸板,002725,跃岭股份,3.8292,,,1
炸板,600973,宝胜股份,3.5008,,,1
炸板,003025,思进智能,2.9533,,,1
炸板,603335,迪生力,-0.5643,,,1
跌停,000893,亚钾国际,-9.9897,,,
跌停,603039,泛微网络,-9.9898,,,
跌停,603778,国晟科技,-9.9888,,,
跌停,002981,朝阳科技,-9.9843,,,
跌停,000603,盛达资源,-10.0032,,,
跌停,600791,京能置业,-9.9726,,,
跌停,603586,金麒麟,-10.0,,,
